"EntrezGeneID"	"Length"
"1"	497097	3634
"2"	100503874	3259
"3"	100038431	1634
"4"	19888	9747
"5"	20671	3130
"6"	27395	4203
"7"	18777	2433
"8"	100503730	799
"9"	21399	2847
"10"	58175	2241
"11"	108664	1976
"12"	18387	4707
"13"	226304	3692
"14"	12421	7046
"15"	620393	858
"16"	240690	6161
"17"	319263	5232
"18"	71096	4193
"19"	59014	2048
"20"	76187	3139
"21"	72481	1246
"22"	76982	3187
"23"	17864	3564
"24"	70675	5179
"25"	73331	1494
"26"	170755	5622
"27"	620986	451
"28"	240697	2553
"29"	73824	407
"30"	266793	74
"31"	100038398	2646
"32"	100039596	501
"33"	69312	1502
"34"	26754	1240
"35"	211660	4354
"36"	211673	7042
"37"	329093	1930
"38"	109294	11187
"39"	320492	8293
"40"	329096	3200
"41"	240725	4864
"42"	240726	8512
"43"	383491	2593
"44"	17978	8213
"45"	72265	2888
"46"	212442	1889
"47"	381246	1926
"48"	433273	1245
"49"	14048	4345
"50"	17681	1717
"51"	277328	4263
"52"	98741	5309
"53"	21749	1633
"54"	226866	2748
"55"	665434	572
"56"	75799	717
"57"	19989	934
"58"	98711	2295
"59"	29819	2890
"60"	66799	2354
"61"	67923	955
"62"	329101	2788
"63"	70397	1732
"64"	17087	603
"65"	57339	4809
"66"	14545	3938
"67"	94227	6923
"68"	83691	4006
"69"	78081	1192
"70"	654454	222
"71"	654460	258
"72"	77673	469
"73"	654464	256
"74"	226896	1753
"75"	21419	6391
"76"	241035	12928
"77"	75028	786
"78"	387202	73
"79"	723817	119
"80"	16171	1171
"81"	257630	1178
"82"	17215	2886
"83"	77741	1120
"84"	74229	4420
"85"	71877	2208
"86"	170829	1409
"87"	75712	1112
"88"	14859	1450
"89"	241041	1148
"90"	368204	1950
"91"	433278	844
"92"	98582	2247
"93"	226922	6980
"94"	116837	4066
"95"	66755	1781
"96"	387225	71
"97"	723964	84
"98"	70155	4844
"99"	100503399	1522
"100"	280645	4362
"101"	98366	2259
"102"	68002	667
"103"	68187	6467
"104"	12839	3888
"105"	12823	10542
"106"	68421	5392
"107"	210933	5522
"108"	100504323	1551
"109"	210940	4331
"110"	433281	2004
"111"	665903	467
"112"	210962	2882
"113"	623924	306
"114"	791350	1160
"115"	213109	7561
"116"	19243	4129
"117"	70988	1094
"118"	266744	1903
"119"	74708	1449
"120"	226957	914
"121"	624262	762
"122"	170771	1359
"123"	408192	1437
"124"	408191	3748
"125"	19076	1937
"126"	67503	889
"127"	19335	4487
"128"	213539	1815
"129"	98403	3650
"130"	433287	3016
"131"	320705	2292
"132"	13518	23242
"133"	100628580	79
"134"	69668	1705
"135"	27993	2249
"136"	52318	3559
"137"	19253	1578
"138"	21755	1246
"139"	12627	1038
"140"	21756	1301
"141"	211383	4356
"142"	241051	2676
"143"	226970	2714
"144"	214469	5080
"145"	226971	5469
"146"	50785	3719
"147"	320011	9029
"148"	214854	2583
"149"	214855	5699
"150"	226976	4663
"151"	214895	2225
"152"	94220	4582
"153"	94218	5283
"154"	78321	1954
"155"	109346	1786
"156"	20353	3805
"157"	381337	2577
"158"	12859	569
"159"	226977	2077
"160"	71166	1127
"161"	22637	2180
"162"	56030	6548
"163"	70853	4422
"164"	12790	3498
"165"	269180	6817
"166"	76178	3862
"167"	67387	1412
"168"	269181	7054
"169"	77633	2755
"170"	100861893	736
"171"	72097	4361
"172"	100503734	2218
"173"	211484	3400
"174"	623661	1555
"175"	69028	1229
"176"	107734	691
"177"	332427	2564
"178"	69541	798
"179"	98258	4596
"180"	226982	7797
"181"	56210	4262
"182"	16764	6010
"183"	381338	5077
"184"	98388	3120
"185"	100503760	2386
"186"	433292	1001
"187"	68833	1706
"188"	18143	4180
"189"	114641	1254
"190"	54610	4440
"191"	52846	3170
"192"	100217461	94
"193"	67702	2434
"194"	263764	5799
"195"	619289	2000
"196"	100042065	359
"197"	73426	531
"198"	26921	5974
"199"	100047133	858
"200"	16178	1343
"201"	16177	5035
"202"	107527	1950
"203"	17082	6967
"204"	16182	4781
"205"	16174	2487
"206"	110895	3822
"207"	226999	3493
"208"	211798	3152
"209"	381339	1096
"210"	74897	573
"211"	66297	546
"212"	18993	3065
"213"	73100	2841
"214"	69527	1419
"215"	93690	3860
"216"	73122	5538
"217"	98404	3457
"218"	14200	1563
"219"	666642	647
"220"	17974	2775
"221"	100861934	1421
"222"	78896	888
"223"	67883	1263
"224"	100503192	585
"225"	22019	4649
"226"	433294	1086
"227"	75623	1265
"228"	72050	2324
"229"	246229	3571
"230"	22592	4010
"231"	100861960	766
"232"	403183	3181
"233"	70676	2976
"234"	75066	906
"235"	12825	5564
"236"	12832	6615
"237"	73674	2612
"238"	433297	641
"239"	53945	3380
"240"	100042453	717
"241"	212225	3483
"242"	227058	12318
"243"	100101919	12384
"244"	227059	4961
"245"	442837	542
"246"	56363	3339
"247"	442821	2552
"248"	20324	3055
"249"	109019	2838
"250"	100045066	3051
"251"	17912	5042
"252"	20849	2981
"253"	100042634	432
"254"	20846	5356
"255"	14660	7488
"256"	17936	5088
"257"	227094	3394
"258"	98682	5591
"259"	16329	1776
"260"	227095	1704
